Principales Canales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Datos erroneos no confiables de Sale-U,,,,-,Sin datos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,147,83,0,30,51,40,43,184,92,38,55,27,35,66,21,27,25,36,48,72,57,50,50,40,145,,        * Suma de todos los canales digitales ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Conversion,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital ,"Febrero, 24","Marzo, 24","Abril, 24","Mayo, 24","Junio, 24","Julio, 24","Agosto, 24","Septiembre, 24","Octubre, 24","Noviembre, 24","Diciembre, 24","Enero, 25","Febrero, 25","Marzo, 25","Abril, 25","Mayo, 25","Junio, 25","Julio, 25","Agosto, 25","Septiembre, 25","Octubre, 25","Noviembre, 25","Diciembre, 25","Enero, 26","Febrero, 26","Marzo, 26","Abril, 26","Mayo, 26","Junio, 26","Julio,26",,Historica,Año actual ,Ultimos 3 meses ,,,,,,,,,,,,,,,,,,,,,,,,,
Leads ,57,145,129,463,350,192,1112,1353,1142,846,755,202,207,491,749,361,576,699,827,676,688,554,908,922,635,980,834,667,748,298,,1.37%,1.18%,1.08%,,,,,,,,,,,,,,,,,,,,,,,,,
Efectivos ,,,,,,,,,,,,,,,,,,,239,344,329,342,594,674,457,618,179,170,200,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDC ,-,-,-,-,-,-,-,-,-,-,-,21,28,13,6,15,19,29,29,36,50,42,39,23,21,16,32,30,28,3,,Aporte,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDM ,-,-,-,-,-,-,-,8,7,17,28,22,24,16,17,26,21,33,31,31,32,22,23,22,22,25,35,35,28,12,,Historica,Año actual ,Ultimos 3 meses ,,,,,,,,,,,,,,,,,,,,,,,,,
Citas Programadas,3,6,23,43,43,36,57,107,83,71,50,74,45,25,47,37,69,89,135,125,110,97,90,110,85,78,83,140,101,26,,24.69%,25.02%,21.38%,,,,,,,,,,,,,,,,,,,,,,,,,
Citas Efectivas ,2,5,5,23,19,14,18,27,33,18,27,37,30,19,33,32,34,45,51,73,60,55,51,56,43,36,59,103,53,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventas ,,1,,,1,2,,6,1,5,10,9,4,12,5,9,12,9,9,15,10,14,8,6,13,11,8,9,7,1,,Cota (Ventas) Ultimo Semestre,,,,,,,,,,,,,,,,,,,,,,,,,,,
